text,component,f4-audit,f4-auth,f4-camel,f4-core,f4-import-export,f4-java-client,f4-jmeter,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,f4-transform,f4-vagrant,f4-webapp-plus,legacy - FeSL,legacy - Fedora,legacy - GSearch,legacy - OAIProvider,legacy - OSGi,legacy - Trippi,legacy - community extensions,legacy - java-client
"External triplestore with additional capabilities This is beyond the basic indexing of relationships that  will go on internally in Fedora 2.0. This external service  can harvest relationship metadata from the repository  and index it outside. It can also be the place where  other ontologies are overlayed on the base Fedora  relationship metadata to support more complex queries  and inferencing. Followup: Date: 2005-03-24 11:39 Sender: payette Logged In: YES  user_id=128 NSDL and/or Harris could develop stand-alone external  service. or we can enable remote configuration of existing kowari in  Fedora, but at users own risk.  (Fedora is not totally in  control of what goes in it.)",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDef and BMech Modification : with Integrity Alerts (80/20 rule applied)  This has been on ongoing discussion about the extent to  which Fedora will support versioning of BDef and BMech  objects.   General things we agree to: 1. We will allow changes that do not break  existing ""behavior contracts."" So, we WILL support  adding methods to existing BDefs, but NOT modification  or deletion of methods. 2. We will not enforce that a BMech implements all  methods of a BDef. So, if a BDef has a new method  added to it, that method does not have to be  implemented by all associated BMechs. So, it could be  the case that new methods may not always be  available. The idea would be that all BMechs would  eventually implement newly defined BDef methods, but  Fedora will not consider a BMech broken when it does  not implement new methods. 3. Date-time stamped API-A requests. If API-A  requests to see methods supported by an object are  given date-time stamps, we well return the list of  methods implemented at the time specified. A note on Disseminator Versioning. Regarding  modifiation of Disseminators on Data Objects (which  point to BDef and BMech objects, the only valid changes  that can be made are those that do not break existing  behavior contracts on the Data Object. Thus it is  permitted to change descriptive labels, or change the  BMech that the Disseminator points to. Changing the  BMech can only be done if it does not require different  datastream bindings. These permitted changes will  cause the Disseminator to be versioned.  Changing a BDef on an existing Disseminator is NOT  allowed. A new BDef would require a new Disseminator  because ia different BDef means a different behavor  contract is being associated with the Data Object. We are still discussing what we should/should-not  support in the realm of BDef/BMech versioning beyond  the above. Date: 2005-11-16 11:24 Sender: payette Logged In: YES  user_id=128  The ""Force Purge"" feature can help here too:   Add option to be able to force purge of objects or datastreams even if the purge would violate referential integrity constraints. There are times this is desirable, and it's o.k. to have the repository in a temporary state of broken references. Clear example is removing a bmech object, when intent is to replace it with updated object. Check implications of loosening referential integrity checks on force purge and on modification of MIME on a datastream. (issues in Admininstrator? Elsewhere?) Date: 2005-11-16 11:23 Sender: payette Logged In: YES  user_id=128  More notes on the problem:   At this time, we do not allow modification of the datastreams of BDEF and BMECH objects, most notably the METHODMAP and WSDL datastreams. At the current time, modification of a BDEF/BMECH is achieved by purging the BDEF/BMECH, making changes to ingest file, and doing new ingest. Before BDEF/BMECH can be purged, all data objects that reference it must also be purged. Once new BDEF/BMECH in ingested, then all data objects are re-ingested. This is tedious.  However, there are two basic reasons we have not enabled direct modification of BDEF and BMECH objects:  1. Free editing of the xml content of these datastreams is dangerous in terms of potentially breaking data objects that are referring to the BDEF or BMECH. The most obvious case is modifying a datastream binding spec in a BMECH object in such a way that the datastream binding keys in the data objects are no longer valid. We need to decide what kinds of changes to BDEF and BMECH objects we will allow, to minimize potential breakage.  2. Given that we want to allow reasonable changes to BDEF and BMECH objects, the real issue to tackle is the current replication process that takes BDEF and BMECH xml data and populates the relational db. The replication of changes to the relational database is not set up properly to accomodate changes. Right now, there are relationships between the data objects and the bdef/bmech objects that depend on joins that use db-generated identifiers as join keys. Replication is generally a delete/insert process rather than an update process when it comes to BDEF and BMECH objects. This would result in rows with new db-generated identifiers and would break the joins to the data object tables which would reference old db-generated identifiers. We need to fix this.  We need to take a good look at the replicator code and figure out how to do database updates for changes to BDEF and BMECH datastreams. We also need to decide what client tools will enable the updating of BDEF and BMECH objects. Options: 1. Fedora Administrator Object Editor: When editing a BDEF or BMECH object, bring up special dialogs for editing METHODMAP and WSDL datastreams. Then send a modifyDatastream and have the server realize we are dealing with these special datastreams. Alternative is to send a whole new ingest file via a new API-M method (updateObject?) and have the server do some sort of diff analysis for BDEF and BMECH objects. 2. Modify the BDEF/BMECH builder to allow editing of these objects. Same issue on how changes are communicated to server. Do we have a new API-M method that allows a whole new ingest file to come in (updateObject) and then server does the diff thing?",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Logging Refactoring : consistency and enable easy analysis Use log4j (via commons-logging or directly) instead of what we have now. It's more flexible and makes integration tasks easier. Use an XML appender. Date: 2005-11-16 10:06 Sender: payette Logged In: YES  user_id=128 Do better logging via log4j and messaging to support performance analysis Date: 2005-03-24 16:38 Sender: payette Logged In: YES  user_id=128 For any new services, implement logging using log4j.   Eventually, refactor the core repository service to use  log4j. Date: 2005-02-02 11:08 Sender: payette Logged In: YES  user_id=128 also do a better job of log messages.  what events do we  want to log?  What is a meaninful message in the log for the  event?",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Proper Architecture of Multiple Triplestore Options This was planned for 2.1b but not viable then. Date: 2006-11-15 09:52 Sender: payette Logged In: YES  user_id=128 - NOTE: trippi not transactional at this point - NOTE: in next release we should better rationalize different triplestore configurations (currently, we have the following configurations internal kowari, internal MPT, external mulgara (topaz) Date: 2006-01-26 11:12 Sender: payette Logged In: YES  user_id=128 look at all options for stabilizing the RI feature via triplestore: kowari upgrade? sesame other - (be creative)",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Content Model Architecture (CMA) Date: 2006-09-01 17:02 Sender: payette Logged In: YES  user_id=128 See initial proposal: http://www.cs.cornell.edu/payette/fedora/designs/cmda/ Date: 2005-11-16 10:13 Sender: payette Logged In: YES  user_id=128 Look at ways to re-architect the Fedora disseminator architecture so that it is less rigid and easier to manage.  We need a way that it is easy to modify a bdef/bmech and to not have to modify every subscribing object when a disseminator change must be made.  The proposal is a looser binding of the disseminators by having content model objects that have disseminators on them.  Then, data objects can have a late binding of disseminators based on whether they (1) have the same content model (via content model identifier) or (2) have a relationship to a content model object in RELS-EXT.   Look at ways to extend the existing dissemination service to support this.  Another possibility is to implement this in the manner that the default disseminator is implemented in the ""dynamic behavior"" section of the code.   Maybe in addition to the default disseminator there can be another thing plugged that can figure out if there is a late-bind disseminator for an object.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Content Modeling Language for 3.0 XML Schema,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"JMS Service The Fedora development team will focus on providing a message-oriented middleware solution for the Fedora Service Framework that will be based on an open-source implementation of the Java Message Service (JMS) API.  This will entail JMS-enabling the core Fedora repository so that it can publish messages (e.g., API events). Also a JMS message broker will be implemented in the framework to facilitate publish/subscribe of messages between the Fedora repository and other services (i.e., preservation-oriented services, and other services).",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Preservation Alerting Service Once the service framework has a JMS messaging service, and the core repository is enabled to publish API-M and other types of events, the preservation alerting service can be developed to subscribe to events that are of interest for preservation. The alerting service can be configured to alert people, or take other action, when it detects certain types of events.  The development of this service will be done in conjunction with Rutgers under the Sun Center of Excellence for Preservation with Fedora.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Web-Based Server Management Rather than modifying files (especially fedora.fcfg) on the server, this feature would allow web-accessible configuration.  It would: - Provide the ability to change configuration. - Provide a way to re-initialize the server.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ingest/Export Archive (multiple objects) Support for advanced ingest and export of the repository by enabling a way to submit an entire archive of objects.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Filter FieldSearch Results based on policy Tim suggestion to not expose hits for things that people  are not allowed to access.  FieldSearch is current always open since it is the administrative  search for the repository (you can always find what's in  there.)  Implementing this would mean building policy examination into the FieldSearch result processing code (per object, does the subject have access?)",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Add new ingest and export formats Consider: - METS 1.3 - DIDL - SCORM,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DirIngest Client for Content Submission (directory) Create a means of uploading a whole directory of files  into the repository. How deal with Dublin Core records? Date: 2005-11-03 16:11 Sender: payette Logged In: YES  user_id=128 We have a nice client created by Cornell PhD student that works with the DirIngest service.  Need to test and document before releasing. Date: 2005-03-24 11:47 Sender: payette Logged In: YES  user_id=128 We have a service in DirIngest and we need a simple client  for user. Date: 2004-10-27 16:40 Sender: payette Logged In: YES  user_id=128 tie this in with web-based content submission interface,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CModel-based Object Builder/Submission Utility Create the equivalent of a multi-step submission process  to get objects into the repository. Do this in as general  a manner, so that it is not fused into the base server  software. Maybe this can be a plug-in service to  Fedora? Date: 2005-03-24 11:48 Sender: payette Logged In: YES  user_id=128 Fedora-IR deals with this requirement",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SDeps with SOAP Bindings Build in functionality that lets a SDep object contain WSDL that binds to a SOAP service. Currently, these can only contain WSDL with REST bindings.  Things to look at: - Web Services Invocation Framework  - modify Dissemination Service to recognise and invoke",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Initial REST API Implementation Create a totally REST-based binding for the Fedora  Management API. Date: 2005-03-24 13:32 Sender: payette Logged In: YES  user_id=128 Selective methods will be implemented - ingest/export. Continue disscussion on need for full-blown API-M-Lite.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fedora WSDL Extensions to support BMech objects We have LOCAL and multi-server bindings that are not  conventional in WSDL.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enable SDep Binding to a SET of Datastreams This is the example where we want a method to take a  set of datastreams as input. We want there to be a  single datastreams binding key for the set such  as ""PHOTOS"" and then a list of image/gifs can be  associated with this key. Right now we can associate a  single datastream ID with a binding key. Date: 2005-03-24 13:56 Sender: payette Logged In: YES  user_id=128 We need to rationalize this in terms of the new  structoid/contentModel stuff.  Either accomodate it there  or get rid of it as a requirement.",legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Format Validation Service Integrate or develop a service that validates datastreams based on their asserted formats. This could be used as part of a larger validation framework for Fedora objects.  Consider the use of JHove and/or GDFR for this purpose.  Consider also having such service be usable by DSpace (perhaps jointly developed?) as they have a similar need.,legacy - Fedora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
